Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,SYN Flag Count,ACK Flag Count,FIN Flag Count,PSH Flag Count,RST Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Init_Win_bytes_forward,Init_Win_bytes_backward,Source IP,Destination IP,Label
3389,17,2017-07-06 02:17:02.944703,607,2,0,0,0,0.0,0.0,1.72,0.77,0.0,3294.88,303.5,400.94,0,42,0.0,6.46,4,0,0,0,0,1,0,0.0,-1,-1,192.168.10.84,10.0.4.188,PortScan
53,17,2017-07-05 12:57:02.310513,6368099,4,7,1087,4664,271.65,80.27,666.27,246.71,903.01,1.73,578918.15,438918.04,272,706,522.77,207.43,1,20,0,8,0,1,2,522.77,8192,65535,192.168.19.157,10.0.1.242,BENIGN
25,17,2017-07-06 04:28:05.491959,6692171,34,15,8605,11481,253.08,112.48,765.38,229.1,3001.34,7.32,136574.94,199518.41,253,805,409.91,272.89,1,13,1,0,0,0,0,409.91,512,-1,192.168.7.142,10.0.2.133,BENIGN
80,6,2017-07-06 03:16:17.837295,1,17,21,4059,15556,238.79,48.38,740.78,269.82,19615851730.62,38000000.0,0.03,0.01,239,781,516.21,274.73,2,14,1,1,0,0,1,516.21,65535,65535,192.168.9.112,10.0.2.65,BENIGN
21,6,2017-07-05 14:38:45.881562,597358,20,15,701,2355,35.07,4.26,157.03,61.87,5117.2,58.59,17067.39,9445.91,35,197,87.34,60.99,2,12,1,6,0,1,1,87.34,512,-1,192.168.14.158,10.0.4.197,BruteForce
8080,6,2017-07-05 16:21:39.795780,1164230,10,0,3061,0,306.1,139.7,664.57,216.02,2629.17,8.59,116423.03,128309.37,306,705,306.1,182.46,1,0,0,8,0,1,0,306.1,29200,26883,192.168.7.22,10.0.4.221,BENIGN
80,17,2017-07-06 05:09:17.942314,274041,24,18,2360,2225,98.33,43.88,123.6,53.13,16729.43,153.26,6524.79,3581.24,98,164,109.16,21.9,2,12,3,3,0,0,1,109.16,-1,65535,192.168.6.129,10.0.1.228,BruteForce
8080,17,2017-07-06 00:50:39.535136,1065583,164,5,32094,6,195.7,83.97,1.28,0.55,30125.02,158.6,6305.23,8975.34,1,236,189.95,109.49,2,125,0,76,3,0,0,189.95,-1,229,192.168.10.194,10.0.0.221,DoS
53,6,2017-07-05 21:11:04.256598,7077796,1,8,165,10703,165.15,16.7,1337.91,434.78,1535.56,1.27,786421.82,518559.35,165,1378,1207.6,598.93,1,19,1,12,0,0,8,1207.6,-1,229,192.168.18.59,10.0.3.149,BENIGN
1433,6,2017-07-05 10:34:48.438383,616,2,0,0,0,0.0,0.0,1.1,0.32,0.0,3244.96,308.17,251.2,0,41,0.0,9.33,2,0,0,0,3,1,0,0.0,65535,235,192.168.17.40,10.0.0.224,PortScan
443,6,2017-07-05 22:39:35.215180,5871028,17,10,3524,11274,207.28,59.32,1127.41,531.87,2520.49,4.6,217445.52,269382.07,207,1167,548.07,462.47,0,0,1,7,0,0,1,548.07,512,26883,192.168.11.199,10.0.2.63,BENIGN
443,6,2017-07-05 18:11:55.934826,690266,78,0,18973,0,243.24,28.92,85.56,16.76,27486.59,113.0,8849.57,12917.95,86,283,243.24,90.97,4,78,0,46,2,1,0,243.24,1024,229,192.168.19.136,10.0.3.192,DoS
25,6,2017-07-05 09:57:46.899426,5191099,17,3,3253,2534,191.33,59.55,844.73,221.74,1114.76,3.85,259555.0,232832.45,191,885,289.34,350.1,2,8,0,0,0,0,0,289.34,-1,65535,192.168.16.134,10.0.2.127,BENIGN
443,6,2017-07-06 04:32:49.698354,3411226,15,12,4360,15705,290.64,42.09,1308.71,247.06,5881.82,7.92,126341.73,35414.88,291,1349,743.12,521.15,0,14,0,0,0,0,1,743.12,512,229,192.168.7.240,10.0.3.197,BENIGN
21,6,2017-07-05 18:49:26.739545,139,2,0,0,0,0.13,0.04,0.22,0.03,1797.97,14315.85,69.85,84.38,0,40,0.13,15.35,2,0,0,0,2,0,0,0.13,8192,229,192.168.16.101,10.0.2.225,PortScan
8080,6,2017-07-06 04:36:44.459540,2953501,17,15,3941,17810,231.82,41.14,1187.35,522.37,7364.55,10.83,92296.93,91553.33,232,1227,679.72,499.83,0,0,0,1,2,0,1,679.72,8192,26883,192.168.17.89,10.0.4.219,BENIGN
53,6,2017-07-06 01:37:09.703392,3668637,15,31,2478,26132,165.2,68.01,842.97,282.43,7798.52,12.54,79753.0,31314.27,165,883,621.95,354.11,1,1,0,1,0,0,2,621.95,29200,26883,192.168.11.3,10.0.2.187,BENIGN
993,6,2017-07-05 19:06:34.284664,1,18,7,2224,3911,123.54,23.34,558.72,191.34,6134826444.41,25000000.0,0.04,0.06,124,599,245.39,232.62,0,14,0,5,0,0,0,245.39,1024,-1,192.168.13.71,10.0.3.111,BENIGN
3306,6,2017-07-05 23:03:56.745835,1,1,1,0,2,0.0,0.0,1.56,0.17,1562102.92,2000000.0,0.5,0.41,0,42,0.78,17.9,1,0,0,1,1,0,1,0.78,65535,65535,192.168.2.41,10.0.4.168,PortScan
22,6,2017-07-06 07:42:54.590988,6516381,19,25,6386,10386,336.09,89.46,415.46,189.68,2573.83,6.75,148099.57,160840.77,336,455,381.18,56.52,2,7,2,6,0,1,1,381.18,8192,229,192.168.16.229,10.0.2.16,BENIGN
49512,6,2017-07-05 09:40:44.202862,1,11,10,1931,2443,175.51,86.48,244.26,78.8,4373285163.08,21000000.0,0.05,0.07,176,284,208.25,43.71,2,3,1,2,0,0,1,208.25,1024,65535,192.168.17.140,10.0.0.243,Botnet
80,17,2017-07-05 13:31:23.937457,2356323,75,6,28270,170,376.94,172.97,28.28,13.62,12069.62,34.38,29090.42,31999.18,28,417,351.11,184.96,3,169,1,22,2,1,0,351.11,1024,65535,192.168.13.26,10.0.3.199,DoS
8080,17,2017-07-05 21:44:28.489704,1557582,109,0,36262,0,332.68,52.31,297.32,55.23,23281.2,69.98,14289.75,19252.68,297,373,332.68,39.14,0,0,0,23,1,1,0,332.68,8192,229,192.168.12.137,10.0.3.18,DoS
3306,6,2017-07-05 10:54:11.323588,4686310,25,10,1253,8895,50.1,11.79,889.53,123.88,2165.41,7.47,133894.57,88904.33,50,930,289.94,428.78,0,15,2,5,0,1,0,289.94,1024,26883,192.168.10.253,10.0.0.240,BENIGN
8080,6,2017-07-05 11:22:24.263476,1425096,58,4,8272,512,142.61,57.66,128.08,29.57,6163.74,43.51,22985.43,29525.07,128,183,141.68,7.4,3,73,0,87,2,1,0,141.68,1024,26883,192.168.19.216,10.0.0.190,DoS
8080,6,2017-07-05 17:41:19.687901,1747906,9,18,2306,5161,256.19,93.05,286.75,139.35,4272.03,15.45,64737.27,70475.23,256,327,276.56,26.25,2,14,1,3,0,1,2,276.56,8192,-1,192.168.17.52,10.0.2.117,BENIGN
443,17,2017-07-06 04:56:58.470353,1,77,15,14554,2050,189.01,27.08,136.64,62.78,16603476959.17,92000000.0,0.01,0.01,137,229,180.47,41.97,3,55,1,24,1,1,0,180.47,512,-1,192.168.13.59,10.0.1.143,DoS
3306,6,2017-07-05 11:48:08.487461,1676044,7,19,338,19580,48.25,12.78,1030.55,168.27,11883.98,15.51,64463.25,36559.9,48,1071,766.08,499.32,0,27,2,6,1,0,3,766.08,8192,229,192.168.10.140,10.0.3.20,BENIGN
443,6,2017-07-06 00:02:45.240732,6722786,27,21,2558,30901,94.73,23.14,1471.46,392.34,4976.87,7.14,140058.06,41013.54,95,1511,697.05,711.7,0,23,1,3,2,1,1,697.05,512,65535,192.168.19.225,10.0.2.241,BENIGN
8080,17,2017-07-06 07:00:34.372795,887329,114,8,32131,702,281.85,138.02,87.69,9.08,37001.58,137.49,7273.19,9388.66,88,322,269.12,117.02,4,71,0,27,4,1,0,269.12,29200,65535,192.168.1.140,10.0.2.15,DoS
6667,6,2017-07-05 23:13:11.271949,17307338,7,9,540,2009,77.1,12.72,223.25,77.5,147.27,0.92,1081708.65,331948.22,77,263,159.31,80.35,0,5,1,6,0,0,1,159.31,512,26883,192.168.15.72,10.0.3.218,Botnet
22,6,2017-07-06 02:46:20.975757,1,13,5,560,522,43.07,13.41,104.34,30.7,1081601416.18,18000000.0,0.06,0.05,43,144,60.09,49.38,3,4,1,3,0,1,0,60.09,-1,-1,192.168.3.142,10.0.1.253,BruteForce
22,6,2017-07-05 16:14:51.392486,1,22,23,3219,26246,146.3,38.19,1141.15,452.55,29465063941.7,45000000.0,0.02,0.01,146,1181,654.78,520.66,0,24,0,1,0,1,1,654.78,1024,229,192.168.9.118,10.0.4.14,BENIGN
8080,17,2017-07-05 14:18:03.815039,779152,9,32,0,28512,0.0,0.0,891.01,441.59,36593.88,52.62,19003.73,25605.24,0,931,695.42,467.65,0,21,1,11,0,1,4,695.42,512,65535,192.168.8.113,10.0.2.182,BENIGN
443,6,2017-07-05 10:08:01.137752,1549897,12,14,13011,4745,1084.25,153.35,338.93,168.01,11456.22,16.78,59611.42,67337.87,339,1124,682.92,389.68,0,20,1,4,1,0,1,682.92,8192,26883,192.168.12.97,10.0.3.76,WebAttack
22,6,2017-07-05 13:57:51.339326,741896,8,0,1066,0,133.24,25.4,284.29,94.19,1436.77,10.78,92737.04,48321.72,133,324,133.24,95.09,0,21,1,3,0,0,0,133.24,65535,229,192.168.18.73,10.0.2.10,BENIGN
80,17,2017-07-05 21:31:21.763991,367387,9,14,1544,3302,171.58,31.37,235.83,35.65,13190.14,62.6,15973.38,6878.19,172,276,210.69,37.73,0,16,2,11,0,0,2,210.69,512,-1,192.168.7.197,10.0.1.12,WebAttack
3306,6,2017-07-05 15:00:02.070625,5286896,1,23,299,22800,298.79,120.17,991.3,267.17,4369.05,4.54,220287.34,196402.88,299,1031,962.45,368.31,0,24,2,2,0,0,23,962.45,8192,229,192.168.5.21,10.0.3.218,BENIGN
53,17,2017-07-05 10:54:42.724047,3628572,21,31,3486,21873,165.99,62.51,705.59,207.1,6988.67,14.33,69780.23,100126.51,166,746,487.67,278.17,1,24,0,13,0,1,1,487.67,-1,235,192.168.9.107,10.0.2.168,BENIGN
80,6,2017-07-06 00:52:28.980581,2613,252,2,12904,0,51.21,7.95,0.14,0.04,4938088.35,97197.49,10.29,5.77,0,91,50.8,41.76,500,3,1,1,1,1,0,50.8,29200,229,192.168.9.13,10.0.3.224,DDoS
53,6,2017-07-05 22:02:49.326484,4072232,14,7,5922,8212,422.99,188.68,1173.14,383.76,3470.78,5.16,193915.82,122350.6,423,1213,673.04,391.89,1,24,1,5,2,0,0,673.04,512,26883,192.168.8.63,10.0.1.253,BENIGN
993,6,2017-07-05 13:46:13.362993,4015968,7,9,1113,5800,159.03,40.86,644.45,164.12,1721.44,3.98,250998.04,195421.51,159,684,432.08,252.76,1,30,0,0,0,0,1,432.08,29200,-1,192.168.2.74,10.0.2.252,BENIGN
135,6,2017-07-05 18:10:00.676097,1,2,0,0,0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.5,0.65,0,40,0.0,22.06,1,0,0,0,2,0,0,0.0,1024,235,192.168.3.138,10.0.3.235,PortScan
443,6,2017-07-05 19:09:57.423104,4218604,13,36,5771,30068,443.95,98.68,835.23,180.57,8495.61,11.62,86093.97,99953.54,444,875,731.42,196.28,0,21,1,5,0,1,3,731.42,65535,235,192.168.14.99,10.0.1.25,BENIGN
22,6,2017-07-05 22:13:20.113787,715910,5,6,1457,5474,291.35,132.96,912.34,414.76,9681.05,15.37,65082.8,77596.73,291,952,630.07,320.52,1,17,1,8,0,1,1,630.07,29200,-1,192.168.10.109,10.0.4.181,BENIGN
993,6,2017-07-05 17:17:14.522565,6465811,18,30,960,14073,53.32,17.44,469.11,182.58,2325.0,7.42,134704.41,127125.45,53,509,313.19,211.64,1,11,2,9,0,0,2,313.19,8192,229,192.168.17.227,10.0.0.189,BENIGN
53,6,2017-07-06 01:29:43.553265,8139738,10,14,2325,5410,232.49,35.76,386.44,87.29,950.27,2.95,339155.77,232457.49,232,426,322.29,83.51,0,10,2,7,1,1,1,322.29,-1,235,192.168.11.173,10.0.3.232,BENIGN
80,6,2017-07-06 06:10:16.544983,2194,146,0,8570,0,58.7,20.18,1.0,0.27,3906094.83,66544.52,15.03,15.63,1,99,58.7,51.42,312,1,1,0,2,0,0,58.7,65535,26883,192.168.15.141,10.0.4.122,DDoS
23,6,2017-07-05 21:45:43.225364,337,2,2,0,0,0.0,0.0,0.07,0.02,426.79,11845.48,84.42,56.55,0,40,0.04,16.54,2,2,1,0,1,1,1,0.04,8192,235,192.168.10.46,10.0.1.77,PortScan
443,17,2017-07-05 08:29:09.922650,1524208,1,15,348,1070,347.65,78.1,71.36,15.53,930.35,10.5,95263.06,98794.81,71,388,88.63,159.27,2,80,0,28,1,0,15,88.63,29200,235,192.168.1.34,10.0.4.111,DoS
8443,17,2017-07-05 16:45:38.185143,13848328,3,309,60,389814,20.06,8.65,1261.53,402.23,28153.14,22.53,44385.67,21097.7,20,1302,1249.6,626.96,3,176,0,163,0,0,103,1249.6,512,229,192.168.6.58,10.0.1.71,Infiltration
80,6,2017-07-05 15:58:10.985875,3808388,19,14,3617,12676,190.39,19.14,905.45,338.72,4278.39,8.67,115405.7,78134.92,190,945,493.75,360.68,2,14,0,3,1,1,1,493.75,-1,26883,192.168.15.190,10.0.3.132,BENIGN
53,6,2017-07-05 15:28:19.367257,1,16,9,3073,928,192.04,47.41,103.06,27.82,4000220450.95,25000000.0,0.04,0.06,103,232,160.01,59.14,3,14,0,10,0,0,1,160.01,65535,65535,192.168.8.69,10.0.3.114,BENIGN
8080,6,2017-07-06 01:26:07.219957,4911292,28,6,0,6095,0.0,0.0,1015.81,320.14,1240.99,6.92,144449.77,56701.23,0,1056,179.26,522.94,0,13,1,7,1,1,0,179.26,65535,-1,192.168.5.185,10.0.4.48,BENIGN
443,6,2017-07-05 23:59:02.086389,3385037,10,22,2277,0,227.75,112.11,0.0,0.0,672.81,9.45,105782.43,118307.81,0,268,71.17,124.26,0,0,1,8,0,0,2,71.17,1024,26883,192.168.16.196,10.0.1.3,BENIGN
3306,6,2017-07-05 15:35:11.709458,54912,1,9,89,3738,89.17,42.46,415.38,100.31,69702.69,182.11,5491.27,2249.8,89,455,382.76,184.23,0,12,1,0,0,0,9,382.76,65535,65535,192.168.18.151,10.0.1.220,BENIGN
22,17,2017-07-06 02:00:17.153936,4535835,30,32,6198,21863,206.59,79.83,683.23,102.18,6186.53,13.67,73158.64,71840.38,207,723,452.6,243.7,1,17,1,7,0,1,1,452.6,1024,-1,192.168.15.141,10.0.2.173,BENIGN
443,17,2017-07-05 19:27:40.775487,768316,16,26,1228,7809,76.78,36.74,300.34,131.84,11762.38,54.66,18293.25,25302.41,77,340,215.17,124.61,1,24,2,0,1,0,2,215.17,65535,235,192.168.8.69,10.0.4.188,BENIGN
8080,6,2017-07-05 14:49:48.584539,253772,23,25,2452,0,106.61,27.79,0.0,0.0,9662.59,189.15,5286.92,2667.91,0,147,51.09,53.84,1,0,1,5,1,1,1,51.09,512,26883,192.168.13.186,10.0.3.94,BENIGN
993,6,2017-07-05 10:02:56.776346,2932905,18,22,324,14787,17.98,3.72,672.16,212.03,5152.26,13.64,73322.63,43566.15,18,712,377.78,336.82,0,29,0,9,0,1,1,377.78,512,235,192.168.17.187,10.0.2.16,BENIGN
8080,17,2017-07-05 18:11:18.903845,580,125,0,9737,0,77.9,8.96,0.0,0.0,16769659.18,215276.77,4.65,2.18,0,118,77.9,49.94,381,1,0,0,2,1,0,77.9,-1,65535,192.168.16.23,10.0.1.240,DDoS
22,6,2017-07-06 06:49:56.602868,161325,12,10,1827,2123,152.26,57.94,212.33,45.32,24487.04,136.37,7332.99,3299.2,152,252,179.56,34.88,2,19,1,5,1,0,1,179.56,65535,229,192.168.15.9,10.0.1.62,BruteForce
8080,6,2017-07-06 06:50:21.320221,4262,449,6,32430,0,72.23,24.06,0.0,0.0,7608966.22,106753.89,9.37,13.31,0,112,71.28,44.56,262,5,0,0,0,0,0,71.28,1024,-1,192.168.1.236,10.0.4.124,DDoS
443,17,2017-07-05 19:08:13.791681,1,18,24,1618,11471,89.86,32.91,477.95,88.4,13088424292.94,42000000.0,0.02,0.03,90,518,311.63,214.68,1,16,2,4,0,0,1,311.63,1024,65535,192.168.2.135,10.0.1.182,BENIGN
8080,17,2017-07-06 07:13:16.489138,9784218,6,14,1904,12799,317.41,59.42,914.2,320.63,1502.75,2.04,489210.92,522836.73,317,954,735.16,316.66,1,17,1,5,0,1,2,735.16,512,65535,192.168.3.51,10.0.0.56,BENIGN
21,6,2017-07-05 13:46:44.318731,557313,18,11,1839,1076,102.15,14.56,97.84,34.22,5230.42,52.04,19217.71,19781.9,98,142,100.52,6.64,2,13,1,10,2,1,1,100.52,29200,26883,192.168.16.32,10.0.2.16,BruteForce
53,6,2017-07-05 15:12:39.084747,13265536,1,0,126,0,125.73,60.99,1238.79,476.28,9.48,0.08,13265536.58,18080097.38,126,1279,125.73,568.09,0,17,1,13,0,1,0,125.73,65535,26883,192.168.17.95,10.0.2.59,BENIGN
22,17,2017-07-05 18:15:50.219071,1310664,36,13,14459,0,401.65,145.56,0.0,0.0,11032.1,37.39,26748.26,25829.42,0,442,295.09,209.6,1,28,1,4,0,0,0,295.09,-1,65535,192.168.11.145,10.0.2.218,BENIGN
25,6,2017-07-05 17:14:14.122451,5821160,7,0,1804,0,257.66,93.66,225.77,86.64,309.83,1.2,831594.33,375907.78,226,298,257.66,33.71,1,24,0,1,0,0,0,257.66,1024,229,192.168.10.193,10.0.3.44,BENIGN
993,6,2017-07-05 16:42:53.458960,7711151,5,13,740,19159,147.95,57.19,1473.79,209.97,2580.55,2.33,428397.31,432583.77,148,1514,1105.5,683.4,0,23,0,10,0,0,3,1105.5,512,-1,192.168.18.141,10.0.3.204,BENIGN
8080,17,2017-07-05 21:20:11.928381,688169,174,3,38964,0,223.93,49.42,0.0,0.0,56619.14,257.2,3887.96,1682.12,0,264,220.13,119.19,1,61,0,36,0,1,0,220.13,29200,235,192.168.8.154,10.0.3.68,DoS
443,6,2017-07-05 09:23:39.599074,1317113,80,6,15598,1113,194.97,38.06,185.47,33.49,12687.46,65.29,15315.27,6683.35,185,235,194.31,20.31,6,84,0,131,3,1,0,194.31,-1,-1,192.168.15.9,10.0.1.95,DoS
443,6,2017-07-05 19:51:14.453852,6977429,34,16,5772,2682,169.76,47.84,167.63,67.2,1211.61,7.17,139548.6,95697.61,168,210,169.08,19.79,1,5,0,3,2,0,0,169.08,65535,-1,192.168.3.216,10.0.3.129,BENIGN
22,6,2017-07-06 00:37:04.342539,2351538,14,6,2032,6956,145.13,18.18,1159.32,227.53,3822.08,8.51,117576.92,127360.5,145,1199,449.39,509.03,1,15,0,2,0,0,0,449.39,1024,235,192.168.5.241,10.0.0.198,BENIGN
21,6,2017-07-05 15:59:04.745266,292,2,1,1,0,0.28,0.12,0.0,0.0,1915.6,10240.38,97.65,99.17,0,40,0.19,2.06,2,1,1,0,1,0,0,0.19,29200,229,192.168.3.253,10.0.2.65,PortScan
8080,17,2017-07-05 10:57:22.972419,3672564,1,16,263,9626,263.05,103.11,601.64,133.87,2692.76,4.63,216033.21,262646.42,263,642,581.73,187.43,1,8,1,6,0,0,16,581.73,8192,65535,192.168.18.32,10.0.2.84,BENIGN
443,6,2017-07-05 19:20:28.304650,4602,286,6,18161,0,63.5,29.09,0.0,0.0,3945531.07,63438.86,15.76,15.13,0,103,62.19,38.56,688,7,1,0,0,1,0,62.19,1024,26883,192.168.6.151,10.0.1.149,DDoS
139,6,2017-07-05 12:38:12.687888,16989749,62,0,11296,0,182.19,50.58,1540.98,618.47,664.87,3.65,274028.21,91502.35,182,1581,182.19,698.01,2,104,3,185,0,0,0,182.19,512,65535,192.168.9.245,10.0.2.108,Infiltration
443,17,2017-07-05 13:49:33.836059,2242245,18,13,1447,20477,80.39,22.71,1575.15,702.1,9777.65,13.83,72330.5,98453.89,80,1615,707.22,769.76,0,0,0,1,0,0,1,707.22,8192,26883,192.168.15.182,10.0.2.98,BENIGN
80,6,2017-07-06 02:08:19.109697,1,19,12,16835,3398,886.06,128.52,283.14,103.38,20232806981.61,31000000.0,0.03,0.02,283,926,652.67,305.18,2,12,1,6,0,1,1,652.67,512,-1,192.168.17.207,10.0.3.236,WebAttack
3389,6,2017-07-05 23:32:30.680047,304584,8,8,526,829,65.78,29.21,103.63,31.19,4449.58,52.53,19036.51,19840.59,66,144,84.7,30.84,2,14,4,6,2,0,1,84.7,65535,229,192.168.14.140,10.0.3.160,BruteForce
3389,17,2017-07-05 08:54:30.384670,446981,20,10,1749,506,87.44,29.74,50.59,8.55,5044.22,67.12,14899.38,21163.0,51,127,75.16,38.68,1,3,2,0,2,0,0,75.16,-1,-1,192.168.7.51,10.0.4.211,BruteForce
993,6,2017-07-05 10:21:15.666423,2211733,21,15,5573,0,265.36,50.74,0.0,0.0,2519.52,16.28,61437.04,76436.04,0,305,154.79,147.33,0,14,2,2,0,0,1,154.79,1024,65535,192.168.7.98,10.0.4.81,BENIGN
44818,6,2017-07-06 06:22:29.390223,18234550,40,27,0,21461,0.0,0.0,794.86,137.64,1176.95,3.67,272157.47,373434.91,0,835,320.32,406.44,2,203,1,88,0,0,1,320.32,1024,26883,192.168.19.164,10.0.1.86,Infiltration
53,17,2017-07-05 17:35:07.242985,118,1,0,0,0,0.0,0.0,0.51,0.09,0.0,8414.35,118.84,162.03,0,41,0.0,1.84,1,0,0,0,0,0,0,0.0,65535,65535,192.168.8.175,10.0.1.104,PortScan
53,6,2017-07-06 07:58:01.026530,1,20,9,3160,2428,158.0,63.68,269.79,61.11,5588189517.59,29000000.0,0.03,0.03,158,310,192.7,71.59,1,0,1,7,1,0,0,192.7,512,26883,192.168.17.109,10.0.0.32,BENIGN
993,17,2017-07-05 17:52:38.726920,6454210,24,34,2482,44974,103.4,39.26,1322.76,412.81,7352.62,8.99,111279.49,40174.73,103,1363,818.2,611.69,0,3,1,14,1,0,1,818.2,512,235,192.168.12.32,10.0.3.78,BENIGN
443,6,2017-07-05 22:54:32.759337,2684740,100,7,31725,137,317.25,56.04,19.54,7.47,11867.73,39.85,25091.03,33732.05,20,357,297.77,159.14,5,25,0,37,1,0,0,297.77,8192,-1,192.168.17.104,10.0.4.3,DoS
22,6,2017-07-06 05:38:17.685371,7699464,10,14,2843,10305,284.31,67.72,736.08,208.67,1707.67,3.12,320811.03,413189.56,284,776,547.84,236.79,1,5,1,7,0,1,1,547.84,512,26883,192.168.5.151,10.0.0.114,BENIGN
3389,6,2017-07-05 16:41:40.500709,134,1,1,0,0,0.19,0.06,0.0,0.0,1371.59,14816.67,67.49,20.63,0,40,0.09,1.42,3,0,0,0,1,0,1,0.09,512,-1,192.168.12.156,10.0.2.221,PortScan
22,6,2017-07-05 20:33:08.161229,4680619,15,13,5428,13815,361.88,51.63,1062.73,248.19,4111.35,5.98,167164.97,235045.18,362,1103,687.27,358.7,2,18,1,0,0,1,1,687.27,8192,235,192.168.3.51,10.0.1.25,BENIGN
4444,6,2017-07-06 00:28:46.680904,25358084,29,107,6911,128876,238.32,32.37,1204.45,466.48,5354.79,5.36,186456.51,67069.49,238,1244,998.44,495.67,0,172,0,87,1,0,4,998.44,1024,235,192.168.7.133,10.0.4.74,Infiltration
135,17,2017-07-05 20:47:00.558910,222,1,0,0,0,0.0,0.0,0.0,0.0,0.0,4493.7,222.53,189.23,0,40,0.0,17.59,3,0,0,0,1,0,0,0.0,65535,229,192.168.19.66,10.0.3.235,PortScan
53,6,2017-07-06 04:37:31.229030,1,23,22,3874,17125,168.42,35.68,778.39,156.42,20998264260.23,45000000.0,0.02,0.02,168,818,466.63,312.63,0,17,1,2,0,1,1,466.63,1024,235,192.168.16.186,10.0.4.173,BENIGN
22,6,2017-07-06 06:45:28.154648,3603069,22,24,0,7982,0.0,0.0,332.58,144.42,2215.34,12.77,78327.6,79092.29,0,373,173.52,168.9,1,17,1,6,1,1,1,173.52,-1,65535,192.168.13.26,10.0.3.171,BENIGN
80,6,2017-07-05 12:56:06.975913,944,721,6,49069,0,68.06,21.83,0.0,0.0,51936712.99,769482.39,1.3,0.5,0,108,67.5,44.73,639,1,1,0,2,0,0,67.5,8192,65535,192.168.5.83,10.0.2.22,DDoS
8080,6,2017-07-05 08:51:58.064551,1,456,0,26060,0,57.15,24.82,0.0,0.0,26059803705.91,456000000.0,0.0,0.0,0,97,57.15,33.97,440,3,0,0,0,1,0,57.15,-1,65535,192.168.7.187,10.0.2.201,DDoS
53,17,2017-07-05 13:34:00.126057,7136920,30,25,6852,36262,228.39,96.0,1450.48,201.17,6040.94,7.71,129762.19,192402.98,228,1490,783.89,616.92,2,25,2,5,1,0,1,783.89,-1,235,192.168.17.48,10.0.3.162,BENIGN
8443,17,2017-07-05 23:20:59.628203,18638544,28,120,2628,139271,93.84,17.34,1160.59,129.85,7613.19,7.94,125936.11,117833.5,94,1201,958.77,553.17,0,160,0,140,0,0,4,958.77,1024,235,192.168.16.240,10.0.3.190,Infiltration
443,6,2017-07-06 07:40:18.446258,5953798,27,11,5427,11853,200.99,81.07,1077.57,479.37,2902.36,6.38,156678.92,121492.53,201,1118,454.74,460.56,0,14,2,5,1,0,0,454.74,1024,235,192.168.16.118,10.0.2.50,BENIGN
443,6,2017-07-05 14:31:18.033152,2438,380,2,28210,2,74.24,27.45,1.14,0.22,11570761.66,156668.81,6.38,8.04,1,114,73.85,54.4,565,1,3,1,4,0,0,73.85,512,-1,192.168.2.151,10.0.0.51,DDoS
21,6,2017-07-05 22:33:45.160322,192224,11,7,1037,813,94.3,39.53,116.14,18.45,9625.67,93.64,10679.12,13013.14,94,156,102.79,13.43,0,5,2,8,1,0,1,102.79,-1,26883,192.168.4.38,10.0.1.27,BruteForce
8080,17,2017-07-05 11:48:49.425914,2030887,15,9,3438,10812,229.17,29.19,1201.31,450.94,7016.31,11.82,84620.3,45079.04,229,1241,593.72,501.71,0,3,2,0,0,0,1,593.72,29200,-1,192.168.2.163,10.0.3.97,BENIGN
135,6,2017-07-06 04:37:42.638770,203,1,0,0,0,0.0,0.0,0.0,0.0,0.0,4918.02,203.33,294.37,0,40,0.0,11.36,3,0,0,0,0,0,0,0.0,8192,235,192.168.16.21,10.0.2.214,PortScan
25,6,2017-07-05 18:32:23.734782,1032412,16,31,1748,27121,109.28,16.44,874.88,113.73,27963.28,45.52,21966.23,20168.93,109,915,614.25,389.2,0,18,2,4,0,0,2,614.25,65535,-1,192.168.1.55,10.0.2.178,BENIGN
53,6,2017-07-05 08:14:20.788022,2411521,21,15,2843,11787,135.39,24.98,785.78,218.71,6066.59,14.93,66986.72,58427.32,135,826,406.38,341.81,1,27,0,1,0,1,1,406.38,8192,26883,192.168.1.108,10.0.1.245,BENIGN
8080,6,2017-07-05 11:17:24.375348,3501,336,4,23126,4,68.83,13.78,1.02,0.51,6606546.5,97114.7,10.3,15.09,1,109,68.03,56.83,647,2,0,1,3,1,0,68.03,65535,235,192.168.17.200,10.0.2.38,DDoS
443,6,2017-07-06 00:12:05.531238,5129213,33,38,9094,90387,275.58,91.34,2378.62,279.33,19395.07,13.84,72242.45,59632.03,276,2419,1401.15,1054.99,1,0,1,2,0,1,1,1401.15,-1,-1,192.168.9.82,10.0.4.143,BENIGN
443,17,2017-07-05 18:15:07.645550,6361253,19,33,3553,42099,187.01,73.01,1275.72,390.46,7176.59,8.17,122331.79,169449.8,187,1316,877.93,549.66,1,24,1,5,0,0,2,877.93,65535,229,192.168.8.48,10.0.0.165,BENIGN
